"Tabell 4A. Döda 2017 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,
"Deaths 2017 by underlying cause of death (ICD detailed list), sex and age. Number.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Ålder,Ålder,,,,,,,,,,,,,,,,,,,
C13.2,"Malign tumör i bakre hypofarynxväggen",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C13.9,"Icke specificerad lokalisation av malign tumör i hypofarynx",Kv,6,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,3,-,-,-
,,M,23,-,-,-,-,-,-,-,-,-,-,1,1,1,1,6,8,2,2,1,-
C15–C26,"Maligna tumörer i matsmältningsorganen",Kv,3 416,1,-,-,-,-,-,2,6,13,25,49,84,122,220,351,558,519,586,508,372
,,M,3 781,-,-,-,-,1,3,2,6,16,26,73,123,143,328,528,764,642,522,397,207
C15.3,"Malign tumör i övre tredjedelen av esofagus",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C15.4,"Malign tumör i mellersta tredjedelen av esofagus",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C15.5,"Malign tumör i nedre tredjedelen av esofagus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,-,1,-
C15.9,"Icke specificerad lokalisation av malign tumör i esofagus",Kv,132,-,-,-,-,-,-,-,-,-,-,-,2,7,7,20,28,16,24,19,9
,,M,332,-,-,-,-,-,-,-,1,1,-,6,9,10,37,58,83,56,31,26,14
C16.0,"Malign tumör i kardia",Kv,25,-,-,-,-,-,-,-,-,-,-,1,-,2,3,3,3,3,2,5,3
,,M,71,-,-,-,-,-,-,1,-,1,2,1,5,3,7,10,12,9,6,10,4
C16.2,"Malign tumör i corpus ventriculi",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
C16.3,"Malign tumör i antrum ventriculi",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
C16.4,"Malign tumör i pylorus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C16.9,"Icke specificerad lokalisation av malign tumör i magsäcken",Kv,188,-,-,-,-,-,-,-,-,2,2,6,9,7,16,15,31,31,35,21,13
,,M,250,-,-,-,-,1,2,1,-,1,3,5,14,13,22,28,42,42,33,27,16
C17.0,"Malign tumör i duodenum",Kv,16,-,-,-,-,-,-,-,-,-,1,-,-,2,-,5,1,2,1,4,-
,,M,26,-,-,-,-,-,-,-,-,-,-,-,1,1,2,6,9,4,2,1,-
C17.1,"Malign tumör i jejunum",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-
C17.2,"Malign tumör i ileum",Kv,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-
C17.9,"Icke specificerad lokalisation av malign tumör i tunntarmen",Kv,31,-,-,-,-,-,-,-,-,1,-,-,-,5,3,3,3,7,3,5,1
,,M,35,-,-,-,-,-,-,-,-,-,-,1,2,1,-,8,5,7,6,2,3
C18.0,"Malign tumör i caecum",Kv,72,-,-,-,-,-,-,-,-,-,1,1,1,-,6,9,10,14,8,12,10
,,M,64,-,-,-,-,-,-,-,-,-,1,2,1,4,2,11,4,14,9,11,5
C18.1,"Malign tumör i appendix",Kv,15,-,-,-,-,-,-,-,-,1,-,1,1,-,1,3,1,5,1,1,-
,,M,7,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,1,1,-,1,-
C18.2,"Malign tumör i colon ascendens",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,-,1,4,2
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,-
C18.3,"Malign tumör i flexura hepatica",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-
C18.4,"Malign tumör i colon transversum",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,3
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,1,1,-
C18.5,"Malign tumör i flexura lienalis",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
C18.6,"Malign tumör i colon descendens",Kv,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-
C18.7,"Malign tumör i sigmoideum",Kv,118,-,-,-,-,-,-,-,-,-,-,3,2,7,6,18,17,10,18,24,13
,,M,152,-,-,-,-,-,-,-,1,-,1,3,3,3,15,19,28,36,21,16,6
C18.8,"Malign tumör i kolon med övergripande växt",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
C18.9,"Icke specificerad lokalisation av malign tumör i kolon",Kv,749,-,-,-,-,-,-,1,3,2,7,16,17,22,39,54,111,110,141,114,112
,,M,649,-,-,-,-,-,-,-,-,5,9,13,17,24,38,69,109,106,118,90,51
C19,"Malign tumör i rektosigmoidala gränszonen",Kv,34,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,7,5,6,6,6
,,M,40,-,-,-,-,-,-,-,-,-,-,2,2,3,3,5,8,4,4,8,1
C20,"Malign tumör i ändtarmen",Kv,316,-,-,-,-,-,-,1,-,2,6,4,11,11,19,27,55,39,54,48,39
,,M,452,-,-,-,-,-,-,-,1,2,3,10,14,12,31,62,95,79,60,46,37
C21.0,"Icke specificerad lokalisation av malign tumör i anus",Kv,24,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,4,4,-,5,5
,,M,15,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,2,1,4,1,2
C21.1,"Malign tumör i analkanalen",Kv,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C22.0,Levercellskarcinom,Kv,87,-,-,-,-,-,-,-,-,1,1,1,1,3,11,8,18,14,16,10,3
,,M,225,-,-,-,-,-,-,-,-,1,-,3,8,10,40,41,44,38,20,17,3
C22.1,"Cancer i intrahepatiska gallgångarna",Kv,78,-,-,-,-,-,-,-,-,-,1,-,2,1,8,10,9,11,18,13,5
,,M,75,-,-,-,-,-,-,-,-,1,2,3,2,4,9,11,19,9,8,5,2
C22.4,"Andra sarkom i levern",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C22.7,"Andra specificerade primära cancerformer i levern",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C22.9,"Icke specificerad malign tumör i levern",Kv,101,1,-,-,-,-,-,-,-,-,-,-,1,2,3,9,12,18,17,22,16
,,M,197,-,-,-,-,-,-,-,-,-,1,2,5,8,20,25,39,27,37,17,16
C23,"Malign tumör i gallblåsan",Kv,118,-,-,-,-,-,-,-,-,2,-,-,3,5,10,11,28,20,22,10,7
,,M,39,-,-,-,-,-,-,-,-,1,1,1,1,-,2,6,8,8,4,5,2
C24.0,"Malign tumör i extrahepatiska gallgångarna",Kv,120,-,-,-,-,-,-,-,2,1,-,1,3,6,4,12,23,28,19,17,4
,,M,89,-,-,-,-,-,-,-,1,-,-,2,4,-,4,12,15,15,16,16,4
C24.1,"Malign tumör i ampulla Vateri",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,2,-
,,M,10,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,3,1,-,2,1
C24.8,"Malign tumör i gallvägarna med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C24.9,"Icke specificerad lokalisation av malign tumör i gallvägarna",Kv,88,-,-,-,-,-,-,-,1,1,1,4,1,6,7,9,14,11,14,11,8
,,M,46,-,-,-,-,-,1,-,-,1,-,2,2,3,5,8,9,5,5,3,2
C25.0,"Malign tumör i caput pancreatis",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,4,2,3
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,1,2
C25.1,"Malign tumör i corpus pancreatis",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
,,M,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-
C25.2,"Malign tumör i cauda pancreatis",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,1,-,-,-
C25.3,"Malign tumör i ductus pancreatis",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
C25.4,"Malign tumör i pankreas endokrina del",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C25.8,"Malign tumör i pankreas med övergripande växt",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
C25.9,"Icke specificerad lokalisation av malign tumör i pankreas",Kv,937,-,-,-,-,-,-,-,-,-,5,8,26,30,68,115,165,151,164,127,78
,,M,882,-,-,-,-,-,-,-,1,1,2,13,26,37,76,139,210,160,115,72,30
C26.0,"Icke specificerad lokalisation av malign tumör i tarmkanalen",Kv,32,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,5,6,6,8
,,M,21,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,3,7,4,3
C26.9,"Ofullständigt angiven lokalisation av malign tumör i matsmältningsorganen",Kv,61,-,-,-,-,-,-,-,-,-,-,1,1,3,1,7,6,9,5,9,19
,,M,46,-,-,-,-,-,-,-,-,-,1,-,1,3,5,2,11,6,7,8,2
C30–C39,"Maligna tumörer i andningsorganen och brösthålans organ",Kv,1 966,-,-,-,-,-,-,-,-,3,3,14,40,86,158,311,468,353,259,186,85
,,M,1 965,-,-,-,-,-,-,-,2,3,4,14,34,76,148,291,424,391,320,187,71
C30.0,"Malign tumör i näshåla",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,2
,,M,3,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-
C31.0,"Malign tumör i maxillarsinus",M,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,1,-,-
C31.1,"Malign tumör i etmoidalsinus",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C31.9,"Malign tumör i näsans bihålor, ospecificerade",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
,,M,5,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,1,-,1,-
C32.0,"Malign tumör i glottis",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
C32.1,"Malign tumör i supraglottis",M,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,1,-,-,-
C32.9,"Icke specificerad lokalisation av malign tumör i larynx",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,2,3,1,1,-
,,M,46,-,-,-,-,-,-,-,-,-,-,-,1,1,3,5,11,10,4,8,3
C33,"Malign tumör i luftstrupen",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
C34.0,"Malign tumör i huvudbronk",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
C34.1,"Malign tumör i överlob, bronk eller lunga",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-
,,M,11,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,2,-,2,1,-
C34.3,"Malign tumör i underlob, bronk eller lunga",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
C34.8,"Malign tumör i bronk och lunga med övergripande växt",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
C34.9,"Icke specificerad lokalisation av malign tumör i bronk och lunga",Kv,1 920,-,-,-,-,-,-,-,-,3,3,14,40,82,154,305,461,343,254,179,82
,,M,1 855,-,-,-,-,-,-,-,1,2,4,12,27,71,139,277,397,372,311,174,68
C37,"Malign tumör i tymus",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-
,,M,7,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,1,-,-,-,-
C38.1,"Malign tumör i främre mediastinum",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C38.3,"Malign tumör i icke specificerad del av mediastinum",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,-
,,M,8,-,-,-,-,-,-,-,1,-,-,-,-,-,2,1,2,2,-,-,-
C38.4,"Malign tumör i pleura",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
,,M,7,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,2,-,1,-
C39.0,"Icke specificerad lokalisation av malign tumör i övre luftvägarna",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C39.8,"Malign tumör i respirationsorganen och brösthålans organ med övergripande växt",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
C39.9,"Ofullständigt angivna lokalisationer av malign tumör inom andningsorganen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
C40–C41,"Maligna tumörer i ben och ledbrosk",Kv,13,-,-,-,-,-,-,2,-,-,-,1,1,-,1,1,2,-,3,1,1
,,M,24,-,-,-,-,5,2,-,1,1,1,3,1,-,-,4,1,1,1,-,3
C40.2,"Malign tumör i nedre extremiteternas långa ben",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C41.0,"Malign tumör i skallens ben och ansiktsbenen",Kv,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-
C41.1,"Malign tumör i underkäkens ben",Kv,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
C41.3,"Malign tumör i revben, sternum och klavikel",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C41.4,"Malign tumör i bäckenben, sakrum och koccyx",M,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C41.9,"Icke specificerad lokalisation av malign tumör i ben och ledbrosk",Kv,6,-,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,-,2,-,-
,,M,16,-,-,-,-,4,1,-,1,1,-,2,-,-,-,3,1,-,-,-,3
C43–C44,"Melanom och andra maligna tumörer i huden",Kv,247,-,-,-,-,-,1,2,3,-,6,12,10,7,20,25,25,37,33,34,32
,,M,345,-,-,-,-,-,-,2,-,4,2,9,12,12,28,34,50,61,47,56,28
C43.2,"Malignt melanom på ytteröra och i yttre hörselgång",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
C43.3,"Malignt melanom på andra och icke specificerade delar av ansiktet",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,1
C43.4,"Malignt melanom i hårbotten och på halsen",Kv,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
C43.5,"Malignt melanom på bålen",M,6,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,-,1
C43.6,"Malignt melanom på övre extremitet inklusive skuldran",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C43.7,"Malignt melanom på nedre extremitet inklusive höften",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C43.9,"Icke specificerad lokalisation av malignt melanom i huden",Kv,209,-,-,-,-,-,1,2,3,-,6,11,9,7,18,23,22,33,29,26,19
,,M,272,-,-,-,-,-,-,2,-,3,2,8,11,12,25,26,39,53,37,39,15
C44.2,"Malign tumör i huden på ytteröra och i yttre hörselgången",M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2
C44.3,"Malign tumör i huden på andra och icke specificerade delar av ansiktet",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2
,,M,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,3,3,1
C44.4,"Malign tumör i huden i hårbotten och på halsen",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,3
C44.5,"Malign tumör i huden på bålen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
C44.6,"Malign tumör i huden på övre extremiteten inklusive skuldran",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C44.7,"Malign tumör i huden på nedre extremiteten inklusive höften",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
C44.8,"Malign tumör i huden med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
C44.9,"Icke specificerad lokalisation av malign tumör i huden",Kv,20,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,2,3,3,9
,,M,28,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,4,3,5,11,3
C45–C49,"Maligna tumörer i mesotelial (kroppshåletäckande) vävnad och mjukvävnad",Kv,127,-,1,1,-,-,-,-,1,-,3,4,1,3,12,20,25,23,18,7,8
,,M,218,-,-,-,1,2,1,4,1,1,5,4,6,4,7,25,51,53,31,12,10
C45.0,"Mesoteliom i pleura",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,1,-,-
,,M,40,-,-,-,-,-,-,-,-,-,-,1,-,-,1,4,12,18,3,1,-
C45.1,"Mesoteliom i peritoneum",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,3,-,-,-
C45.7,"Mesoteliom med andra lokalisationer",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,-,-
C45.9,"Icke specificerad lokalisation av mesoteliom",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,5,2,-,1
,,M,67,-,-,-,-,-,-,-,-,-,-,-,-,-,3,9,16,17,11,8,3
C46.9,"Icke specificerad lokalisation av Kaposis sarkom",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
C47.3,"Malign tumör i perifera nerver i torax",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C47.9,"Icke specificerad lokalisation av malign tumör i perifera nerver och autonoma nervsystemet",M,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
C48.0,"Malign tumör i retroperitonealrummet",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,-
,,M,3,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
C48.2,"Icke specificerad lokalisation av malign tumör i peritoneum",Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6,3,5,2,3,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C49.0,"Malign tumör i bindväv och mjukvävnad i huvudet, ansiktet och halsen",M,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C49.1,"Malign tumör i bindväv och mjukvävnad i övre extremitet inklusive skuldran",M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-
C49.2,"Malign tumör i bindväv och mjukvävnad i nedre extremitet inklusive höften",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,2,-,1
,,M,7,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,1,-,3
C49.3,"Malign tumör i bindväv och mjukvävnad i bröstkorgen",Kv,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,,M,4,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-
C49.4,"Malign tumör i bindväv och mjukvävnad i buken",Kv,6,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,-,-,1
,,M,9,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,1,3,-,1,-
C49.5,"Malign tumör i bindväv och mjukvävnad i bäckenet",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-
C49.9,"Icke specificerad lokalisation av malign tumör i bindväv och mjukvävnad",Kv,59,-,-,1,-,-,-,-,1,-,2,3,1,2,7,9,13,8,8,2,2
,,M,60,-,-,-,-,1,1,2,-,1,4,3,5,3,1,3,16,5,11,1,3
C50–C50,"Malign tumör i bröstkörtel",Kv,1 413,-,-,-,-,-,-,1,7,17,28,42,64,91,124,157,201,164,173,157,187
,,M,14,-,-,-,-,-,-,-,-,-,1,3,2,1,3,1,1,2,-,-,-
C50.9,"Icke specificerad lokalisation av malign tumör i bröstkörtel",Kv,1 413,-,-,-,-,-,-,1,7,17,28,42,64,91,124,157,201,164,173,157,187
,,M,14,-,-,-,-,-,-,-,-,-,1,3,2,1,3,1,1,2,-,-,-
C51–C58,"Maligna tumörer i de kvinnliga könsorganen",Kv,1 278,-,-,-,-,-,-,3,6,6,20,24,58,61,81,155,197,207,191,148,121
C51.9,"Icke specificerad lokalisation av malign tumör i vulva",Kv,73,-,-,-,-,-,-,-,-,-,1,1,1,3,3,6,4,8,12,19,15
C52,"Malign tumör i vagina",Kv,17,-,-,-,-,-,-,-,-,-,1,1,-,-,-,3,3,4,-,3,2
C53.9,"Icke specificerad lokalisation av malign tumör i cervix uteri",Kv,149,-,-,-,-,-,-,-,3,3,12,7,17,9,8,20,14,22,16,12,6
C54.1,"Malign tumör i endometrium",Kv,28,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,6,3,5,4,5
C54.9,"Icke specificerad lokalisation av malign tumör i corpus uteri",Kv,165,-,-,-,-,-,-,-,-,-,1,-,3,9,7,23,31,31,20,22,18
C55,"Malign tumör i livmodern med icke specificerad lokalisation",Kv,172,-,-,-,-,-,-,-,-,-,-,1,5,7,9,10,19,34,32,29,26
C56,"Malign tumör i äggstock",Kv,536,-,-,-,-,-,-,3,3,2,5,14,25,26,43,75,98,90,85,36,31
C57.0,"Malign tumör i äggledare",Kv,54,-,-,-,-,-,-,-,-,-,-,-,4,4,5,9,17,9,3,2,1
C57.9,"Icke specificerad lokalisation av malign tumör i de kvinnliga könsorganen",Kv,83,-,-,-,-,-,-,-,-,1,-,-,2,1,5,7,5,6,18,21,17
C58,"Malign tumör i moderkakan",Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
C60–C63,"Maligna tumörer i de manliga könsorganen",M,2 380,-,-,-,-,-,-,-,-,2,1,2,7,26,66,133,297,387,481,540,438
C60.9,"Icke specificerad lokalisation av malign tumör i penis",M,25,-,-,-,-,-,-,-,-,-,1,-,1,1,3,3,8,1,2,1,4
C61,"Malign tumör i prostata",M,2 345,-,-,-,-,-,-,-,-,-,-,1,5,24,63,128,288,384,479,539,434
C62.9,"Icke specificerad lokalisation av malign tumör i testikel",M,9,-,-,-,-,-,-,-,-,2,-,1,1,1,-,2,-,2,-,-,-
C63.7,"Malign tumör i andra specificerade manliga könsorgan",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C64,"Malign tumör i njure med undantag för njurbäcken",Kv,214,1,-,-,-,-,-,-,-,-,-,-,-,4,8,11,31,34,55,39,31
,,M,306,-,-,-,-,-,-,-,-,-,-,5,12,16,19,43,46,53,47,37,28
C64–C68,"Maligna tumörer i urinorganen",Kv,486,1,-,-,-,-,-,-,-,-,2,2,7,15,18,36,70,79,101,88,67
,,M,904,-,-,-,-,-,-,-,-,-,1,7,20,31,44,95,129,179,147,140,111
C65,"Malign tumör i njurbäcken",Kv,28,-,-,-,-,-,-,-,-,-,1,1,1,1,1,2,4,6,8,3,-
,,M,38,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,8,7,11,3,2
C66,"Malign tumör i uretär (urinledare)",Kv,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,4,-,2,3
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,4,-,-,2
C67.0,"Malign tumör i trigonum",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C67.1,"Malign tumör i blåstaket",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C67.7,"Malign tumör i urachusgången",M,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-
C67.8,"Malign tumör i urinblåsan med övergripande växt",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
C67.9,"Icke specificerad lokalisation av malign tumör i urinblåsan",Kv,211,-,-,-,-,-,-,-,-,-,1,1,6,10,8,19,31,33,33,39,30
,,M,503,-,-,-,-,-,-,-,-,-,1,2,5,14,17,41,67,108,84,94,70
C68.0,"Malign tumör i uretra",M,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
